Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2/8/2022,CN,China,WPRO,18390,5657405,42,23704
2/8/2022,FR,France,EURO,7249,32888425,121,148732
2/8/2022,DE,Germany,EURO,61560,30956873,12,144150
2/8/2022,ES,Spain,EURO,0,13226579,0,110719
2/8/2022,GB,The United Kingdom,EURO,0,23304931,0,183953
2/8/2022,US,United States of America,AMRO,23311,90236371,14,1020010
1/8/2022,CN,China,WPRO,22895,5639015,35,23662
1/8/2022,FR,France,EURO,31535,32881176,20,148611
1/8/2022,DE,Germany,EURO,6422,30895313,6,144138
1/8/2022,ES,Spain,EURO,0,13226579,0,110719
1/8/2022,GB,The United Kingdom,EURO,0,23304931,0,183953
1/8/2022,US,United States of America,AMRO,18362,90213060,11,1019996
31/7/2022,CN,China,WPRO,23322,5616120,64,23627
31/7/2022,FR,France,EURO,41278,32849641,55,148591
31/7/2022,DE,Germany,EURO,13924,30888891,2,144132
31/7/2022,ES,Spain,EURO,0,13226579,0,110719
31/7/2022,GB,The United Kingdom,EURO,0,23304931,0,183953
31/7/2022,US,United States of America,AMRO,248415,90194698,534,1019985
30/7/2022,CN,China,WPRO,25285,5592798,62,23563
30/7/2022,FR,France,EURO,40224,32808363,74,148536
30/7/2022,DE,Germany,EURO,59916,30874967,11,144130
30/7/2022,ES,Spain,EURO,26018,13226579,325,110719
30/7/2022,GB,The United Kingdom,EURO,0,23304931,0,183953
30/7/2022,US,United States of America,AMRO,141992,89946283,428,1019451
29/7/2022,CN,China,WPRO,26089,5567513,67,23501
29/7/2022,FR,France,EURO,50518,32768139,112,148462
29/7/2022,DE,Germany,EURO,74444,30815051,13,144119
29/7/2022,ES,Spain,EURO,0,13200561,0,110394
29/7/2022,GB,The United Kingdom,EURO,0,23304931,0,183953
29/7/2022,US,United States of America,AMRO,148464,89804291,610,1019023
28/7/2022,CN,China,WPRO,27755,5541424,38,23434
28/7/2022,FR,France,EURO,58638,32717621,103,148350
28/7/2022,DE,Germany,EURO,95581,30740607,27,144106
28/7/2022,ES,Spain,EURO,0,13200561,0,110394
28/7/2022,GB,The United Kingdom,EURO,6588,23304931,0,183953
28/7/2022,US,United States of America,AMRO,171261,89655827,583,1018413
27/7/2022,CN,China,WPRO,27038,5513669,43,23396
27/7/2022,FR,France,EURO,81818,32658983,112,148247
27/7/2022,DE,Germany,EURO,117672,30645026,41,144079
27/7/2022,ES,Spain,EURO,39089,13200561,207,110394
27/7/2022,GB,The United Kingdom,EURO,10752,23298343,30,183953
27/7/2022,US,United States of America,AMRO,115808,89484566,267,1017830
26/7/2022,CN,China,WPRO,18896,5486631,56,23353
26/7/2022,FR,France,EURO,9162,32577165,128,148135
26/7/2022,DE,Germany,EURO,119791,30527354,78,144038
26/7/2022,ES,Spain,EURO,0,13161472,0,110187
26/7/2022,GB,The United Kingdom,EURO,10778,23287591,100,183923
26/7/2022,US,United States of America,AMRO,50352,89368758,113,1017563
25/7/2022,CN,China,WPRO,23618,5467735,73,23297
25/7/2022,FR,France,EURO,50032,32568003,23,148007
25/7/2022,DE,Germany,EURO,11641,30407563,12,143960
25/7/2022,ES,Spain,EURO,0,13161472,0,110187
25/7/2022,GB,The United Kingdom,EURO,9486,23276813,80,183823
25/7/2022,US,United States of America,AMRO,47074,89318406,91,1017450
24/7/2022,CN,China,WPRO,24268,5444117,60,23224
24/7/2022,FR,France,EURO,68532,32517971,57,147984
24/7/2022,DE,Germany,EURO,21932,30395922,8,143948
24/7/2022,ES,Spain,EURO,0,13161472,0,110187
24/7/2022,GB,The United Kingdom,EURO,11818,23267327,95,183743
24/7/2022,US,United States of America,AMRO,206361,89271332,566,1017359
23/7/2022,CN,China,WPRO,25909,5419849,92,23164
23/7/2022,FR,France,EURO,68478,32449439,102,147927
23/7/2022,DE,Germany,EURO,89169,30373990,48,143940
23/7/2022,ES,Spain,EURO,31980,13161472,516,110187
23/7/2022,GB,The United Kingdom,EURO,13666,23255509,110,183648
23/7/2022,US,United States of America,AMRO,148481,89064971,454,1016793
22/7/2022,CN,China,WPRO,27138,5393940,78,23072
22/7/2022,FR,France,EURO,80624,32380961,133,147825
22/7/2022,DE,Germany,EURO,103303,30284821,71,143892
22/7/2022,ES,Spain,EURO,0,13129492,0,109671
22/7/2022,GB,The United Kingdom,EURO,15777,23241843,189,183538
22/7/2022,US,United States of America,AMRO,160143,88916490,646,1016339
21/7/2022,CN,China,WPRO,29052,5366802,58,22994
21/7/2022,FR,France,EURO,89982,32300337,125,147692
21/7/2022,DE,Germany,EURO,121725,30181518,79,143821
21/7/2022,ES,Spain,EURO,0,13129492,0,109671
21/7/2022,GB,The United Kingdom,EURO,16490,23226066,258,183349
21/7/2022,US,United States of America,AMRO,178203,88756347,667,1015693
20/7/2022,CN,China,WPRO,28719,5337750,41,22936
20/7/2022,FR,France,EURO,134188,32210355,144,147567
20/7/2022,DE,Germany,EURO,143121,30059793,86,143742
20/7/2022,ES,Spain,EURO,41683,13129492,294,109671
20/7/2022,GB,The United Kingdom,EURO,18548,23209576,157,183091
20/7/2022,US,United States of America,AMRO,107094,88578144,322,1015026
19/7/2022,CN,China,WPRO,19637,5309031,51,22895
19/7/2022,FR,France,EURO,17733,32076167,174,147423
19/7/2022,DE,Germany,EURO,133991,29916672,114,143656
19/7/2022,ES,Spain,EURO,0,13087809,0,109377
19/7/2022,GB,The United Kingdom,EURO,17155,23191028,182,182934
19/7/2022,US,United States of America,AMRO,53028,88471050,145,1014704
18/7/2022,CN,China,WPRO,25967,5289394,77,22844
18/7/2022,FR,France,EURO,73668,32058434,26,147249
18/7/2022,DE,Germany,EURO,12989,29782681,15,143542
18/7/2022,ES,Spain,EURO,0,13087809,0,109377
18/7/2022,GB,The United Kingdom,EURO,14943,23173873,153,182752
18/7/2022,US,United States of America,AMRO,53958,88418022,108,1014559
17/7/2022,CN,China,WPRO,27055,5263427,73,22767
17/7/2022,FR,France,EURO,124009,31984766,59,147223
17/7/2022,DE,Germany,EURO,25000,29769692,15,143527
17/7/2022,ES,Spain,EURO,0,13087809,0,109377
17/7/2022,GB,The United Kingdom,EURO,18276,23158930,137,182599
17/7/2022,US,United States of America,AMRO,181629,88364064,430,1014451
16/7/2022,CN,China,WPRO,27035,5236372,119,22694
16/7/2022,FR,France,EURO,16053,31860757,101,147164
16/7/2022,DE,Germany,EURO,108108,29744692,62,143512
16/7/2022,ES,Spain,EURO,57635,13087809,392,109377
16/7/2022,GB,The United Kingdom,EURO,21016,23140654,145,182462
16/7/2022,US,United States of America,AMRO,138564,88182435,419,1014021
15/7/2022,CN,China,WPRO,29359,5209337,94,22575
15/7/2022,FR,France,EURO,115424,31844704,48,147063
15/7/2022,DE,Germany,EURO,116628,29636584,76,143450
15/7/2022,ES,Spain,EURO,0,13030174,0,108985
15/7/2022,GB,The United Kingdom,EURO,23790,23119638,161,182317
15/7/2022,US,United States of America,AMRO,154979,88043871,687,1013602
14/7/2022,CN,China,WPRO,31582,5179978,52,22481
14/7/2022,FR,France,EURO,127529,31729280,109,147015
14/7/2022,DE,Germany,EURO,135448,29519956,81,143374
14/7/2022,ES,Spain,EURO,0,13030174,0,108985
14/7/2022,GB,The United Kingdom,EURO,26900,23095848,164,182156
14/7/2022,US,United States of America,AMRO,183835,87888892,642,1012915
13/7/2022,CN,China,WPRO,32669,5148396,62,22429
13/7/2022,FR,France,EURO,182006,31601751,126,146906
13/7/2022,DE,Germany,EURO,144526,29384508,113,143293
13/7/2022,ES,Spain,EURO,59226,13030174,218,108985
13/7/2022,GB,The United Kingdom,EURO,29798,23068948,151,181992
13/7/2022,US,United States of America,AMRO,122421,87705057,277,1012273
12/7/2022,CN,China,WPRO,20500,5115727,103,22367
12/7/2022,FR,France,EURO,24343,31419745,108,146780
12/7/2022,DE,Germany,EURO,130892,29239982,114,143180
12/7/2022,ES,Spain,EURO,0,12970948,0,108767
12/7/2022,GB,The United Kingdom,EURO,25062,23039150,152,181841
12/7/2022,US,United States of America,AMRO,54539,87582636,90,1011996
11/7/2022,CN,China,WPRO,29355,5095227,73,22264
